songs	artists	album	release date	image
Apocalypse	Cigarettes After Sex	Cigarettes After Sex	2017-06-09	['https://i.scdn.co/image/ab67616d0000b27312b69bf576f5e80291f75161', 'https://i.scdn.co/image/ab67616d00001e0212b69bf576f5e80291f75161', 'https://i.scdn.co/image/ab67616d0000485112b69bf576f5e80291f75161']
Cry	Cigarettes After Sex	Cry	2019-10-25	['https://i.scdn.co/image/ab67616d0000b273fd275af89cec73d6287f9cbf', 'https://i.scdn.co/image/ab67616d00001e02fd275af89cec73d6287f9cbf', 'https://i.scdn.co/image/ab67616d00004851fd275af89cec73d6287f9cbf']
Nothing's Gonna Hurt You Baby	Cigarettes After Sex	I.	2012-07-21	['https://i.scdn.co/image/ab67616d0000b2739da736813eb8d9de94d46828', 'https://i.scdn.co/image/ab67616d00001e029da736813eb8d9de94d46828', 'https://i.scdn.co/image/ab67616d000048519da736813eb8d9de94d46828']
Tejano Blue	Cigarettes After Sex	X's	2024-07-12	['https://i.scdn.co/image/ab67616d0000b273765c3f0a6ce3d22bc5485010', 'https://i.scdn.co/image/ab67616d00001e02765c3f0a6ce3d22bc5485010', 'https://i.scdn.co/image/ab67616d00004851765c3f0a6ce3d22bc5485010']
Sunsetz	Cigarettes After Sex	Cigarettes After Sex	2017-06-09	['https://i.scdn.co/image/ab67616d0000b27312b69bf576f5e80291f75161', 'https://i.scdn.co/image/ab67616d00001e0212b69bf576f5e80291f75161', 'https://i.scdn.co/image/ab67616d0000485112b69bf576f5e80291f75161']
Heavenly	Cigarettes After Sex	Cry	2019-10-25	['https://i.scdn.co/image/ab67616d0000b273fd275af89cec73d6287f9cbf', 'https://i.scdn.co/image/ab67616d00001e02fd275af89cec73d6287f9cbf', 'https://i.scdn.co/image/ab67616d00004851fd275af89cec73d6287f9cbf']
You're All I Want	Cigarettes After Sex	You're All I Want	2020-05-26	['https://i.scdn.co/image/ab67616d0000b2734a10d87775c6bb25c8ca068b', 'https://i.scdn.co/image/ab67616d00001e024a10d87775c6bb25c8ca068b', 'https://i.scdn.co/image/ab67616d000048514a10d87775c6bb25c8ca068b']
X's	Cigarettes After Sex	X's	2024-07-12	['https://i.scdn.co/image/ab67616d0000b273765c3f0a6ce3d22bc5485010', 'https://i.scdn.co/image/ab67616d00001e02765c3f0a6ce3d22bc5485010', 'https://i.scdn.co/image/ab67616d00004851765c3f0a6ce3d22bc5485010']
K	Cigarettes After Sex	Cigarettes After Sex	2017-06-09	['https://i.scdn.co/image/ab67616d0000b27312b69bf576f5e80291f75161', 'https://i.scdn.co/image/ab67616d00001e0212b69bf576f5e80291f75161', 'https://i.scdn.co/image/ab67616d0000485112b69bf576f5e80291f75161']
Falling In Love	Cigarettes After Sex	Cry	2019-10-25	['https://i.scdn.co/image/ab67616d0000b273fd275af89cec73d6287f9cbf', 'https://i.scdn.co/image/ab67616d00001e02fd275af89cec73d6287f9cbf', 'https://i.scdn.co/image/ab67616d00004851fd275af89cec73d6287f9cbf']
Pistol	Cigarettes After Sex	Pistol	2022-11-15	['https://i.scdn.co/image/ab67616d0000b273ff2267bd3886891025bf1c09', 'https://i.scdn.co/image/ab67616d00001e02ff2267bd3886891025bf1c09', 'https://i.scdn.co/image/ab67616d00004851ff2267bd3886891025bf1c09']
Silver Sable	Cigarettes After Sex	X's	2024-07-12	['https://i.scdn.co/image/ab67616d0000b273765c3f0a6ce3d22bc5485010', 'https://i.scdn.co/image/ab67616d00001e02765c3f0a6ce3d22bc5485010', 'https://i.scdn.co/image/ab67616d00004851765c3f0a6ce3d22bc5485010']
