songs	artists	album	release date	image
Tough	Quavo,Lana Del Rey	Tough	2024-07-03	['https://i.scdn.co/image/ab67616d0000b273e1a7ec3a606b52b7328d3e78', 'https://i.scdn.co/image/ab67616d00001e02e1a7ec3a606b52b7328d3e78', 'https://i.scdn.co/image/ab67616d00004851e1a7ec3a606b52b7328d3e78']
Say Yes To Heaven	Lana Del Rey	Say Yes To Heaven	2023-05-19	['https://i.scdn.co/image/ab67616d0000b273aa27708d07f49c82ff0d0dae', 'https://i.scdn.co/image/ab67616d00001e02aa27708d07f49c82ff0d0dae', 'https://i.scdn.co/image/ab67616d00004851aa27708d07f49c82ff0d0dae']
Young And Beautiful	Lana Del Rey	Young And Beautiful	2013-01-01	['https://i.scdn.co/image/ab67616d0000b273d7fb3e4c63020039d1cff6b2', 'https://i.scdn.co/image/ab67616d00001e02d7fb3e4c63020039d1cff6b2', 'https://i.scdn.co/image/ab67616d00004851d7fb3e4c63020039d1cff6b2']
Stargirl Interlude	The Weeknd,Lana Del Rey	Starboy	2016-11-24	['https://i.scdn.co/image/ab67616d0000b273a048415db06a5b6fa7ec4e1a', 'https://i.scdn.co/image/ab67616d00001e02a048415db06a5b6fa7ec4e1a', 'https://i.scdn.co/image/ab67616d00004851a048415db06a5b6fa7ec4e1a']
Summertime Sadness	Lana Del Rey	Born To Die - The Paradise Edition	2012-01-01	['https://i.scdn.co/image/ab67616d0000b273ebc8cfac8b586bc475b04918', 'https://i.scdn.co/image/ab67616d00001e02ebc8cfac8b586bc475b04918', 'https://i.scdn.co/image/ab67616d00004851ebc8cfac8b586bc475b04918']
West Coast	Lana Del Rey	Ultraviolence (Deluxe)	2014-01-01	['https://i.scdn.co/image/ab67616d0000b2731624590458126fc8b8c64c2f', 'https://i.scdn.co/image/ab67616d00001e021624590458126fc8b8c64c2f', 'https://i.scdn.co/image/ab67616d000048511624590458126fc8b8c64c2f']
Cinnamon Girl	Lana Del Rey	Norman Fucking Rockwell!	2019-08-30	['https://i.scdn.co/image/ab67616d0000b273879e9318cb9f4e05ee552ac9', 'https://i.scdn.co/image/ab67616d00001e02879e9318cb9f4e05ee552ac9', 'https://i.scdn.co/image/ab67616d00004851879e9318cb9f4e05ee552ac9']
White Mustang	Lana Del Rey	Lust For Life	2017-07-21	['https://i.scdn.co/image/ab67616d0000b27395e2fd1accb339fa14878190', 'https://i.scdn.co/image/ab67616d00001e0295e2fd1accb339fa14878190', 'https://i.scdn.co/image/ab67616d0000485195e2fd1accb339fa14878190']
Let The Light In (feat. Father John Misty)	Lana Del Rey,Father John Misty	Did you know that there's a tunnel under Ocean Blvd	2023-03-24	['https://i.scdn.co/image/ab67616d0000b27359ae8cf65d498afdd5585634', 'https://i.scdn.co/image/ab67616d00001e0259ae8cf65d498afdd5585634', 'https://i.scdn.co/image/ab67616d0000485159ae8cf65d498afdd5585634']
Brooklyn Baby	Lana Del Rey	Ultraviolence (Deluxe)	2014-01-01	['https://i.scdn.co/image/ab67616d0000b2731624590458126fc8b8c64c2f', 'https://i.scdn.co/image/ab67616d00001e021624590458126fc8b8c64c2f', 'https://i.scdn.co/image/ab67616d000048511624590458126fc8b8c64c2f']
Chemtrails Over The Country Club	Lana Del Rey	Chemtrails Over The Country Club	2021-03-19	['https://i.scdn.co/image/ab67616d0000b273ca929c6e766cb8591a286e0d', 'https://i.scdn.co/image/ab67616d00001e02ca929c6e766cb8591a286e0d', 'https://i.scdn.co/image/ab67616d00004851ca929c6e766cb8591a286e0d']
Doin' Time	Lana Del Rey	Norman Fucking Rockwell!	2019-08-30	['https://i.scdn.co/image/ab67616d0000b273879e9318cb9f4e05ee552ac9', 'https://i.scdn.co/image/ab67616d00001e02879e9318cb9f4e05ee552ac9', 'https://i.scdn.co/image/ab67616d00004851879e9318cb9f4e05ee552ac9']
Art Deco	Lana Del Rey	Honeymoon	2015-09-18	['https://i.scdn.co/image/ab67616d0000b273a3b3f48ca81acacb3ad4ec8a', 'https://i.scdn.co/image/ab67616d00001e02a3b3f48ca81acacb3ad4ec8a', 'https://i.scdn.co/image/ab67616d00004851a3b3f48ca81acacb3ad4ec8a']
Diet Mountain Dew	Lana Del Rey	Born To Die - The Paradise Edition	2012-01-01	['https://i.scdn.co/image/ab67616d0000b273ebc8cfac8b586bc475b04918', 'https://i.scdn.co/image/ab67616d00001e02ebc8cfac8b586bc475b04918', 'https://i.scdn.co/image/ab67616d00004851ebc8cfac8b586bc475b04918']
Margaret (feat. Bleachers)	Lana Del Rey,Bleachers	Did you know that there's a tunnel under Ocean Blvd	2023-03-24	['https://i.scdn.co/image/ab67616d0000b27359ae8cf65d498afdd5585634', 'https://i.scdn.co/image/ab67616d00001e0259ae8cf65d498afdd5585634', 'https://i.scdn.co/image/ab67616d0000485159ae8cf65d498afdd5585634']
Sad Girl	Lana Del Rey	Ultraviolence (Deluxe)	2014-01-01	['https://i.scdn.co/image/ab67616d0000b2731624590458126fc8b8c64c2f', 'https://i.scdn.co/image/ab67616d00001e021624590458126fc8b8c64c2f', 'https://i.scdn.co/image/ab67616d000048511624590458126fc8b8c64c2f']
Salvatore	Lana Del Rey	Honeymoon	2015-09-18	['https://i.scdn.co/image/ab67616d0000b273a3b3f48ca81acacb3ad4ec8a', 'https://i.scdn.co/image/ab67616d00001e02a3b3f48ca81acacb3ad4ec8a', 'https://i.scdn.co/image/ab67616d00004851a3b3f48ca81acacb3ad4ec8a']
Video Games	Lana Del Rey	Born To Die - The Paradise Edition	2012-01-01	['https://i.scdn.co/image/ab67616d0000b273ebc8cfac8b586bc475b04918', 'https://i.scdn.co/image/ab67616d00001e02ebc8cfac8b586bc475b04918', 'https://i.scdn.co/image/ab67616d00004851ebc8cfac8b586bc475b04918']
Cherry	Lana Del Rey	Lust For Life	2017-07-21	['https://i.scdn.co/image/ab67616d0000b27395e2fd1accb339fa14878190', 'https://i.scdn.co/image/ab67616d00001e0295e2fd1accb339fa14878190', 'https://i.scdn.co/image/ab67616d0000485195e2fd1accb339fa14878190']
Pretty When You Cry	Lana Del Rey	Ultraviolence (Deluxe)	2014-01-01	['https://i.scdn.co/image/ab67616d0000b2731624590458126fc8b8c64c2f', 'https://i.scdn.co/image/ab67616d00001e021624590458126fc8b8c64c2f', 'https://i.scdn.co/image/ab67616d000048511624590458126fc8b8c64c2f']
Paris, Texas (feat. SYML)	Lana Del Rey,SYML	Did you know that there's a tunnel under Ocean Blvd	2023-03-24	['https://i.scdn.co/image/ab67616d0000b27359ae8cf65d498afdd5585634', 'https://i.scdn.co/image/ab67616d00001e0259ae8cf65d498afdd5585634', 'https://i.scdn.co/image/ab67616d0000485159ae8cf65d498afdd5585634']
